#{"t_start": 1774620365.5528686, "env_id": "None"}
r,l,t
381.972718,50,559.696893
377.421502,50,560.297031
374.45839,50,560.885855
380.275432,50,561.471051
381.659499,50,562.063955
384.774247,50,562.658638
377.859709,50,563.2554
372.334327,50,563.836476
369.464445,50,564.422495
365.56507,50,565.017443
381.841611,50,565.597399
392.15741,50,566.178511
378.050254,50,566.761653
386.37532,50,567.34607
374.812271,50,567.931625
373.228736,50,568.516784
369.017964,50,569.099042
378.56223,50,569.717091
378.867012,50,570.309794
381.931519,50,570.89922
376.665659,50,571.565834
378.595504,50,572.154178
379.341557,50,572.744673
384.667461,50,573.326652
386.698589,50,573.919841
382.76451,50,574.50335
382.4135,50,575.095596
377.163551,50,575.680997
372.999544,50,576.27457
380.117591,50,576.875818
377.138962,50,577.484718
372.475047,50,578.071939
376.961323,50,578.651578
327.697902,50,579.267644
291.075883,50,579.873943
310.735384,50,580.464574
378.336282,50,581.045384
383.617494,50,581.648587
387.14075,50,582.266487
379.617012,50,582.878881
377.308878,50,583.922207
383.956031,50,584.517747
376.175503,50,585.100772
364.383429,50,585.684979
375.542748,50,586.26168
376.243196,50,586.854696
382.004556,50,587.442431
378.335223,50,588.04494
375.152508,50,588.624905
381.723748,50,589.248903
376.63024,50,589.835266
379.149128,50,590.412472
365.779856,50,591.008456
371.980661,50,591.611456
374.013567,50,592.208395
356.689193,50,592.790007
341.297577,50,593.396614
373.250893,50,594.001357
378.925294,50,594.579828
374.524604,50,595.177728
384.730515,50,595.782902
336.874323,50,596.376533
373.612568,50,596.961397
371.584435,50,597.573951
381.571645,50,598.157671
379.30589,50,598.7594
358.710831,50,599.351066
370.976103,50,599.958879
377.547325,50,600.564071
371.740643,50,601.154371
374.023913,50,601.740251
373.251001,50,602.329165
376.756513,50,602.904825
366.291206,50,603.484052
377.624172,50,604.06504
372.731748,50,604.661513
360.815653,50,605.249599
380.04052,50,605.824963
366.783512,50,606.404155
359.860239,50,607.000041
374.571444,50,608.03881
353.595335,50,608.622402
300.237885,50,609.250654
381.808166,50,609.839123
372.683975,50,610.42079
369.421727,50,611.000517
371.378816,50,611.585403
372.71916,50,612.171002
368.493459,50,612.769602
370.478425,50,613.354019
375.16224,50,613.947188
377.035432,50,614.532228
379.699984,50,615.116273
365.735153,50,615.700086
372.406618,50,616.293215
366.482891,50,616.8791
341.081612,50,617.485342
362.053706,50,618.069903
377.333394,50,618.652424
367.622861,50,619.246972
380.102026,50,619.840502
371.605098,50,620.456598
381.297393,50,621.05672
383.107538,50,621.663045
376.585595,50,622.250781
363.928333,50,622.863676
376.924251,50,623.478286
370.951863,50,624.091297
378.833762,50,624.690922
375.182111,50,625.275955
381.535482,50,625.859849
377.889974,50,626.460122
369.602287,50,627.05565
374.939082,50,627.649941
378.862827,50,628.252467
366.124924,50,628.854756
367.033425,50,629.447023
376.064699,50,630.032778
371.921271,50,630.617599
376.641655,50,631.207
384.357686,50,632.364344
381.255029,50,632.964652
381.578675,50,633.549481
382.064587,50,634.139224
384.307002,50,634.719833
387.813495,50,635.308927
372.837638,50,635.905208
387.184698,50,636.493489
380.931922,50,637.080658
385.860344,50,637.688451
374.033079,50,638.278278
377.621375,50,638.861247
379.757026,50,639.450617
370.69814,50,640.047157
381.878554,50,640.676805
384.055582,50,641.28729
375.037878,50,641.896948
384.906121,50,642.495873
386.366056,50,643.101083
372.226514,50,643.689485
368.818576,50,644.291936
389.239407,50,644.880437
379.345438,50,645.467384
385.704839,50,646.047982
373.700826,50,646.628659
378.118612,50,647.219069
381.400934,50,647.808873
384.703075,50,648.391265
378.017399,50,648.991602
379.333461,50,649.595507
380.302803,50,650.20919
380.383879,50,650.795787
368.20617,50,651.378039
374.453537,50,651.968735
386.845842,50,652.55241
381.94443,50,653.134752
363.441527,50,653.734391
362.734838,50,654.332757
379.45586,50,654.919036
379.328834,50,655.53245
390.932324,50,656.567188
378.679795,50,657.20133
383.931938,50,657.794781
386.970967,50,658.380791
389.342706,50,658.972144
384.456758,50,659.568876
387.761469,50,660.166227
380.310988,50,660.748648
373.593421,50,661.332586
378.738847,50,661.929794
369.546936,50,662.510085
372.441224,50,663.102461
373.104803,50,663.706057
372.343422,50,664.299612
382.181248,50,664.889717
372.943337,50,665.468116
386.565281,50,666.053178
384.850894,50,666.633777
385.435412,50,667.230537
385.12152,50,667.826254
379.010782,50,668.414202
385.255221,50,669.01202
375.539022,50,669.60366
381.529627,50,670.192224
366.093665,50,670.767699
377.937077,50,671.3764
